번호	카드명	타입	효과	에너지	인물(모티브)	가문	등급
C001	기본 공격	공격	상대 HP -20	1	가렌 스톤	공용	Normal
C002	더블 슬래시	공격	상대 HP -35	2	마르쿠스 벨몬트	공용	Normal
C003	강타	공격	상대 HP -50	3	다리우스 블랙우드	공용	Normal
C004	크리티컬 찌르기	공격	25% 확률로 2배 피해	2	카이 드레이크	공용	Normal
C005	피의 일격	공격	HP -10 후 피해 60	3	다리우스 블랙우드	공용	Normal
C006	화염폭발	공격	전체 피해 -40	3	루시안 로즈가든	공용	Normal
C007	방패 밀치기	공격	피해 -25 + 상대 에너지 -1	2	가렌 스톤	공용	Normal
C008	섬광 베기	공격	상대 다음 턴 피해 -20%	2	세라피나 벨몬트	공용	Normal
C009	차지 슬래시	공격	다음 공격 +50%	1	마르쿠스 벨몬트	공용	Normal
C010	마무리 일격	공격	상대 HP 30 이하일 때 피해 2배	3	카이 드레이크	공용	Normal
C011	방패 들기	방어	이번 턴 피해 -30%	1	가렌 스톤	공용	Normal
C012	아이언월	방어	이번 턴 피해 -60%	2	마르쿠스 벨몬트	공용	Normal
C013	완전 방어	방어	피해 0 (1회 한정)	3	엘더 벨몬트	공용	Normal
C014	반격 자세	방어	"피해 -50%, 받은 피해 30% 반사"	2	세라피나 벨몬트	공용	Normal
C015	강화 가드	방어	"피해 -40%, 다음 턴 방어 +10%"	2	가렌 스톤	공용	Normal
C016	긴급 회피	방어	20% 확률로 피해 완전 회피	1	엘레나 드레이크	공용	Normal
C017	보호막 생성	방어	3턴간 피해 -15%	2	이리스 벨몬트	공용	Normal
C018	차단	방어	상대 공격 무효화 (30%)	3	루시안 로즈가든	공용	Normal
C019	방어 강화	방어	다음 방어카드 효과 +30%	1	엘더 벨몬트	공용	Normal
C020	가드 스탠스	방어	"공격 불가, 피해 -70%"	2	가렌 스톤	공용	Normal
C021	힐링 포션	회복	HP +25	2	미라	공용	Rare
C022	하이 포션	회복	HP +40	3	세라핀 윈터스	공용	Rare
C023	응급치료	회복	HP +15 + 다음 턴 피해 -10%	2	미라	공용	Rare
C024	회복의 빛	회복	3턴간 HP +10씩 회복	2	이리스 벨몬트	공용	Rare
C025	생명의 숨결	회복	"HP +30, 에너지 -1"	2	세라핀 윈터스	공용	Rare
C026	재생	회복	3턴간 총 HP +30	2	세라핀 윈터스	공용	Rare
C027	응급구조	회복	"HP +20, 상태이상 해제"	2	미라	공용	Rare
C028	활력주입	회복	"HP +10, 다음 공격 +20%"	1	엘레나 드레이크	공용	Rare
C029	부활의 희망	회복	HP 0 시 1회 30%로 부활	3	이리스 벨몬트	공용	Rare
C030	생명전환	회복	"HP -10, 에너지 +2"	1	카이 드레이크	공용	Rare
C031	파워 업	특수	공격력 +20% (2턴)	2	레온 아르데니아	공용	Rare
